Engine_Id,AEP,AEGHG,EngineType,FuelCost
201,0.32,"1,920",Zero,0.05
202,0.32,"3,840",Zero,0.05
203,0.32,"3,840",Zero,0.05
204,0.32,"1,920",Zero,0.05
205,0.32,"3,840",Zero,0.05
206,0.32,"1,920",Zero,0.05
207,0.32,"3,840",Zero,0.05
208,NULL,NULL,NULL,NULL
209,0.32,"1,920",Zero,0.05
210,0.32,"3,840",Zero,0.05
211,0.32,"3,840",Zero,0.05
212,0.32,0,Zero,0.05
213,0.32,0,Zero,0.05
214,0.32,0,Zero,0.05
215,0.32,"3,840",Zero,0.05
216,0.32,"1,920",Zero,0.05
217,0.32,"3,840",Zero,0.05
218,0.32,"1,920",Zero,0.05
219,0.32,"1,920",Zero,0.05
220,0.32,"3,840",Zero,0.05
221,0.32,0,Zero,0.05
222,NULL,NULL,NULL,NULL
223,0.32,"1,920",Zero,0.05
224,0.32,"1,920",Zero,0.05
225,0.32,"3,840",Zero,0.05
226,0.32,"1,920",Zero,0.05
227,0.32,"1,920",Zero,0.05
228,0.32,"1,920",Zero,0.05
229,0.32,"1,920",Zero,0.05
230,0.32,0,Zero,0.05
231,0.32,"3,840",Zero,0.05
232,0.32,0,Zero,0.05
233,0.32,0,Zero,0.05
234,0.32,0,Zero,0.05
235,0.32,0,Zero,0.05
236,0.32,0,Zero,0.05
237,0.32,0,Zero,0.05
238,0.32,"1,920",Zero,0.05
239,0.32,"1,920",Zero,0.05
240,0.32,"1,920",Zero,0.05
241,0.32,"1,920",Zero,0.05
242,0.32,0,Zero,0.05
243,0.32,0,Zero,0.05
244,0.32,0,Zero,0.05
245,0.32,0,Zero,0.05
246,0.32,0,Zero,0.05
247,0.32,0,Zero,0.05
248,0.32,"1,920",Zero,0.05
249,0.32,"1,920",Zero,0.05
250,NULL,NULL,NULL,NULL
251,0.32,"1,920",Zero,0.05
252,0.32,0,Zero,0.05
253,0.32,0,Zero,0.05
254,0.32,0,Zero,0.05
255,0.32,0,Zero,0.05
256,0.32,"1,920",Zero,0.05
257,0.32,0,Zero,0.05
258,0.32,"1,920",Zero,0.05
259,0.32,"1,920",Zero,0.05
260,0.32,"1,920",Zero,0.05
261,0.32,"1,920",Zero,0.05
262,0.32,"1,920",Zero,0.05
263,0.32,0,Zero,0.05
264,0.32,0,Zero,0.05
265,0.32,"1,920",Zero,0.05
266,0.32,"1,920",Zero,0.05
267,NULL,NULL,NULL,NULL
268,NULL,NULL,NULL,NULL
269,0.32,0,Zero,0.05
270,0.32,0,Zero,0.05
271,0.32,0,Zero,0.05
272,0.32,0,Zero,0.05
273,0.32,0,Zero,0.05
274,0.32,0,Zero,0.05
275,0.32,"3,840",Zero,0.05
276,0.32,"3,840",Zero,0.05
277,0.32,"3,840",Zero,0.05
278,0.32,"3,840",Zero,0.05
279,0.32,"3,840",Zero,0.05
280,0.32,"3,840",Zero,0.05
281,0.32,"3,840",Zero,0.05
282,0.32,0,Zero,0.05
283,0.32,0,Zero,0.05
284,0.32,0,Zero,0.05
285,0.32,0,Zero,0.05
286,0.32,0,Zero,0.05
287,0.32,0,Zero,0.05
288,0.32,0,Zero,0.05
289,0.32,0,Zero,0.05
290,0.32,0,Zero,0.05
291,0.32,"3,840",Zero,0.05
